SMILES,IZ
O=C(NCC(=O)N1c2ccccc2Sc2ccccc21)NN1C(=O)C(Cl)C1c1ccccc1Cl,7
Cc1nn(C(=O)c2ccc(Cl)cc2)c2c1nnc1cc(Cl)c(F)cc12,9.1
Cc1ccc(OCc2ccccc2-c2nnc(-c3ccccc3F)o2)cc1,16
Cc1ccc(NC(=O)c2cn(CCO)c3c(cc(Cl)c4ncccc43)c2=O)cc1,5
Cn1c(=O)c(C#N)c(-c2ccccc2)n2c(CC#N)nnc12,17
CC1NN(c2ccccc2)C(=O)C1C(=O)CN1CCCCC1,16
COc1ccc(C2SCC(=O)N2c2ccc(Nc3nc(Oc4ccc5c(C)cc(=O)oc5c4)nc(N(C)C)n3)cc2)cc1OC,12
O=C1C(Cl)C(c2ccccc2[N+](=O)[O-])N1c1ccc(-n2c(Cc3ccccc3Nc3c(Cl)cccc3Cl)nc3ccc(Br)cc3c2=O)cc1,6
COc1ccc(F)cc1-c1cccc(-c2nnc(SCCCCF)o2)c1,15
CC1=NNC(=O)C1CN1C(=O)C(=O)NC2CCCCC21,39
Nc1nc(COC(=O)c2ccccc2)cs1,10
COc1ccc(C2C3=C(N=c4s/c(=C\c5c(C)[nH]c6ccccc56)c(=O)n42)c2ccc(OC)cc2CC3)cc1,8
O=C(NS(=O)(=O)c1c(-c2ccccc2)noc1-c1ccccc1)c1ccc(Cl)s1,21
Cc1cc(SCc2nnc(-c3ccc([N+](=O)[O-])cc3)n2N)nc(SCc2nnc(-c3ccc([N+](=O)[O-])cc3)n2N)n1,31
CCCCCCCCCCn1cc(Cn2c(CC)nc3nc(C(F)(F)F)ccc3c2=O)nn1,16
Nc1c(-c2nnco2)n[nH]c1-c1ccc(Cl)cc1,12
CCCC1=NOC(CCCCCCCCC(=O)OC)C1,30.1
O=C(Nc1cccc(Cl)c1)c1cn(CCO)c2c(cc(Cl)c3ncccc32)c1=O,7
Cc1ccc(C(=O)n2cc(C)n(-c3cccc(C)c3)c2=S)cc1,14
COC(=O)c1c(C)nc(C)c2c1C(=O)C(Cl)=C(NC[C@H]1O[C@@H](OC)[C@@H]3OC(C)(C)O[C@H]13)C2=O,0
COc1ccc(C2=NN(c3nc(-c4ccc([N+](=O)[O-])cc4)cs3)C(c3ccc(-c4ccc([N+](=O)[O-])cc4C)o3)C2)cc1OC,16
N#Cc1c(-c2c(-c3ccccc3)[nH]c3ccccc23)n2nnnc2n2nnnc12,14
CCCCCCCCCCCCCCCCCC(=O)N(C(=O)NC1CCCCC1)C1CCCCC1,12.2
NC(=S)n1c(/C=C/c2ccccc2)nc2sc3c(c2c1=O)CCCC3,13
Cc1ccc(C2=NOC(Cc3ccc4c(c3)OCO4)CC2)cc1,11.25
Cc1ccc(-c2nn3c(-c4nc5ccc(Cl)cc5[nH]4)c(-c4ccc(Cl)cc4)nc3s2)cc1,3
COc1ccc(NS(=O)(=O)c2c(O)c(C(=O)O)c(OC)c3ccoc23)cc1,8
COc1ccccc1-n1c(S)nnc1-c1csc(N(C(C)=O)C(C)=O)n1,8
N#Cc1c(N)c2c(N)c3c(nc2oc1=O)OC(c1ccc(Cl)cc1)=CC3c1c(-c2ccccc2)[nH]c2ccccc12,10
COc1ccc(C2CC(=NOC(=O)c3cc(OC)c(OC)c(OC)c3)CC(c3ccc(OC)cc3)N2C)cc1,5
Cc1nn(-c2ccccc2)c(Cl)c1C1CC(C2C(=O)NC(=O)NC2=O)=NN1,20.1
Cc1cc(C)n(CC(=O)c2ccc(F)cc2)n1,11
NC(=S)NNC(=O)c1cc2ccccc2[nH]1,2.5
O=C(NN1C(=O)C(CN2CCCCC2)SC1c1ccccc1O)c1ccc(-n2c(-c3ccccc3)nc3c(Br)cc(Br)cc3c2=O)cc1,11
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,12
COc1ccc(F)cc1-c1cccc(-c2nn(CCO)c(=O)o2)c1,20
O=C1Nc2ccccc2C1(O)Cc1nc2sccn2c1[N+](=O)[O-],9
COc1ccc(C2C(C#N)C(=N)N3C(NC(=O)C4C(c5ccccc5)CSC43)C2C#N)cc1,14
